DATE,A,C
30/07/2014,-0.001,-0.0094
29/07/2014,0.0036,0.007
28/07/2014,0.0047,-0.0059
25/07/2014,-0.003,-0.009
24/07/2014,0.0012,0.0204
23/07/2014,-0.0048,-0.002
22/07/2014,0.0064,0.0216
21/07/2014,0.0007,-0.0148
18/07/2014,-0.0053,0.0065
17/07/2014,-0.0052,-0.0221
16/07/2014,0.0051,0.0317
15/07/2014,-0.0031,-0.0133
14/07/2014,0.0053,0.004
11/07/2014,0.0026,0.0062
10/07/2014,-0.0004,-0.019
09/07/2014,0.0045,0.0089
08/07/2014,0.0004,-0.0269
07/07/2014,-0.0014,-0.0133
04/07/2014,-0.0007,-0.0149
03/07/2014,0.0014,0.0095
02/07/2014,-0.0003,0.0053
01/07/2014,0.0029,0.0132
30/06/2014,0.0019,-0.0017
27/06/2014,0.0019,-0.003
26/06/2014,0.0032,-0.0039
25/06/2014,-0.0043,-0.008
24/06/2014,0.0014,-0.0025
23/06/2014,-0.0025,-0.0133
20/06/2014,0.0031,-0.0103
19/06/2014,0.0084,0.0085
18/06/2014,0.0014,0.0015
17/06/2014,0.0024,0.0009
16/06/2014,-0.0044,-0.0086
13/06/2014,-0.0007,0.0001
12/06/2014,0.0015,-0.0027
11/06/2014,-0.0018,-0.0124
10/06/2014,-0.0009,0.0014
09/06/2014,0.0029,0.0082
06/06/2014,0.0029,0.0154
05/06/2014,0.0011,0.0152
04/06/2014,-0.001,-0.0016
03/06/2014,-0.0012,-0.0064
02/06/2014,0.0056,0.0077
30/05/2014,-0.0006,0.0055
29/05/2014,-0.0007,-0.0035
28/05/2014,0.0025,0.0085
27/05/2014,-0.0039,-0.0042
26/05/2014,0.0186,0.0361
23/05/2014,0,0.0183
22/05/2014,0.0014,-0.0109
21/05/2014,-0.0045,0.0107
20/05/2014,-0.001,0.003
19/05/2014,-0.0121,-0.016
16/05/2014,0.0048,0.0112
15/05/2014,0.001,-0.0361
14/05/2014,0.0009,-0.0034
13/05/2014,0.0047,-0.0111
12/05/2014,0.0042,0.0048
09/05/2014,-0.0015,-0.0156
08/05/2014,0.006,0.023
07/05/2014,-0.0027,-0.0131
06/05/2014,0.0039,-0.0055
05/05/2014,0.0004,-0.0065
02/05/2014,0.0021,-0.0001
30/04/2014,-0.0022,-0.0088
29/04/2014,0.0054,0.0215
28/04/2014,0.0016,0.0034
25/04/2014,-0.0046,-0.0173
24/04/2014,0.0063,0.0066
23/04/2014,-0.0006,-0.0118
22/04/2014,0.0006,0.0149
17/04/2014,-0.0005,0.0037
16/04/2014,0.0117,0.0344
15/04/2014,0.0006,-0.0233
14/04/2014,-0.0027,0.0055
11/04/2014,-0.0066,-0.0107
10/04/2014,0.005,-0.0133
09/04/2014,0.0027,0.0023
08/04/2014,0.0047,-0.0146
07/04/2014,-0.0081,-0.0084
04/04/2014,0.0013,0.0083
03/04/2014,0.0017,0.0138
02/04/2014,0.004,-0.0102
01/04/2014,0.0022,0.0103
31/03/2014,0.0055,0.009
28/03/2014,0.0065,0.0153
27/03/2014,-0.0029,0.0031
26/03/2014,0.0036,0.0137
25/03/2014,0.0053,0.0095
24/03/2014,-0.001,-0.0165
21/03/2014,0.0002,-0.0058
20/03/2014,-0.0074,0.0056
19/03/2014,-0.0002,-0.0029
18/03/2014,-0.0013,0.0086
17/03/2014,0.0034,0.0252
14/03/2014,-0.0078,-0.0119
13/03/2014,0.0036,-0.0091
12/03/2014,-0.0043,-0.0025
11/03/2014,0.0033,0.0039
10/03/2014,-0.0007,0.0058
07/03/2014,0.0007,-0.0098
06/03/2014,0.0038,0.0039
05/03/2014,-0.0029,0.0138
04/03/2014,0.0117,0.0362
03/03/2014,-0.0225,-0.0334
28/02/2014,0.0003,0.006
27/02/2014,-0.0001,-0.0038
26/02/2014,0.0005,-0.0037
25/02/2014,-0.0024,-0.0002
24/02/2014,-0.0026,0.0042
21/02/2014,0.0022,-0.003
20/02/2014,-0.0119,0.0007
19/02/2014,-0.0015,-0.002
18/02/2014,0.0035,0.0009
17/02/2014,0.0018,0.0011
14/02/2014,0.0029,0.0162
13/02/2014,-0.0017,-0.0017
12/02/2014,0.0006,0.013
11/02/2014,0.0027,0.0104
10/02/2014,0.0042,-0.0005
07/02/2014,0.0029,0.0096
06/02/2014,0.0062,0.0228
05/02/2014,0,0.0026
04/02/2014,-0.0051,0.006
03/02/2014,-0.0004,-0.0263
31/01/2014,0.002,0.0003
30/01/2014,-0.0029,0.0038
29/01/2014,0.0068,-0.0057
28/01/2014,0.0049,0.0091
27/01/2014,-0.0001,-0.0044
24/01/2014,0.0007,-0.023
23/01/2014,-0.0011,-0.0072
22/01/2014,0.006,-0.0019
21/01/2014,0.0045,0.0011
20/01/2014,-0.0013,0.0002
17/01/2014,0.0002,0.0047
16/01/2014,0.0007,-0.0085
